country,year,gds_pct_gdp
Pakistan,2010,9.2
Pakistan,2009,9.0
Pakistan,2008,7.4
Pakistan,2007,10.0
Pakistan,2006,10.3
Pakistan,2005,10.9
Pakistan,2004,13.7
Pakistan,2003,15.0
Pakistan,2002,14.4
Pakistan,2001,13.7
Pakistan,2000,14.1
Pakistan,1999,14.0
Pakistan,1998,16.7
Pakistan,1997,13.2
Pakistan,1996,14.5
Pakistan,1995,15.8
Pakistan,1994,16.7
Pakistan,1993,14.6
Pakistan,1992,17.0
Pakistan,1991,17.4
Pakistan,1990,13.5
Peru,2019,22.0
Peru,2018,23.1
Peru,2017,22.6
Peru,2016,21.8
Peru,2015,21.7
Peru,2014,23.0
Peru,2013,25.4
Peru,2012,26.9
Peru,2011,29.2
Peru,2010,27.7
Peru,2009,24.8
Peru,2008,27.2
Peru,2007,29.4
Peru,2006,28.9
Peru,2005,23.6
Peru,2004,20.7
Peru,2003,17.9
Peru,2002,17.3
Peru,2001,16.3
Peru,2000,17.6
Peru,1999,18.2
Peru,1998,17.7
Peru,1997,19.3
Peru,1996,17.6
Peru,1995,19.0
Peru,1994,18.9
Peru,1993,15.2
Peru,1992,14.8
Peru,1991,15.1
Peru,1990,18.1
Philippines,2019,14.3
Philippines,2018,15.4
Philippines,2017,16.5
Philippines,2016,16.2
Philippines,2015,16.6
Philippines,2014,18.2
Philippines,2013,17.2
Philippines,2012,16.7
Philippines,2011,18.2
Philippines,2010,20.1
Philippines,2009,17.0
Philippines,2008,18.0
Philippines,2007,18.5
Philippines,2006,17.7
Philippines,2005,17.2
Philippines,2004,17.3
Philippines,2003,16.6
Philippines,2002,16.6
Philippines,2001,16.4
Philippines,2000,17.2
Philippines,1999,15.8
Philippines,1998,15.1
Philippines,1997,17.8
Philippines,1996,18.3
Philippines,1995,18.1
Philippines,1994,18.6
Philippines,1993,17.7
Philippines,1992,18.4
Philippines,1991,19.8
Philippines,1990,22.5
Senegal,2019,17.7
Senegal,2018,16.8
Senegal,2017,15.9
Senegal,2016,14.4
Senegal,2015,13.1
Senegal,2014,11.0
Senegal,2013,8.1
Senegal,2012,7.6
Senegal,2011,6.0
Senegal,2010,7.6
Senegal,2009,6.9
Senegal,2008,5.2
Senegal,2007,6.5
Senegal,2006,6.8
Senegal,2005,9.3
Senegal,2004,8.2
Senegal,2003,9.5
Senegal,2002,9.2
Senegal,2001,11.3
Senegal,2000,9.2
Senegal,1999,10.5
Senegal,1998,9.4
Senegal,1997,9.0
Senegal,1996,6.6
Senegal,1995,7.9
Senegal,1994,4.7
Senegal,1993,1.9
Senegal,1992,3.1
Senegal,1991,3.5
Senegal,1990,3.2
South Africa,2019,16.3
South Africa,2018,16.7
South Africa,2017,17.8
South Africa,2016,17.4
South Africa,2015,17.3
South Africa,2014,17.0
South Africa,2013,17.1
South Africa,2012,16.9
South Africa,2011,18.9
South Africa,2010,19.6
South Africa,2009,20.2
South Africa,2008,19.9
South Africa,2007,20.6
South Africa,2006,20.6
South Africa,2005,20.3
South Africa,2004,19.3
South Africa,2003,21.2
South Africa,2002,20.5
South Africa,2001,18.1
South Africa,2000,17.8
South Africa,1999,17.1
South Africa,1998,17.3
South Africa,1997,17.2
South Africa,1996,18.0
South Africa,1995,18.8
South Africa,1994,17.3
South Africa,1993,18.1
South Africa,1992,17.0
South Africa,1991,17.7
South Africa,1990,18.2
South Korea,2019,33.8
South Korea,2018,35.4
South Korea,2017,36.5
South Korea,2016,36.3
South Korea,2015,35.9
South Korea,2014,34.4
South Korea,2013,34.2
South Korea,2012,33.7
South Korea,2011,34.1
South Korea,2010,35.3
South Korea,2009,33.5
South Korea,2008,33.3
South Korea,2007,34.0
South Korea,2006,33.6
South Korea,2005,34.9
South Korea,2004,36.1
South Korea,2003,33.9
South Korea,2002,32.4
South Korea,2001,33.2
South Korea,2000,34.8
South Korea,1999,36.5
